basisOfRecord,reps
,8725527
#REF!,4
.,643
1 specimen,4821
10 specimens,133
100 specimens,4
102 specimens,1
107 specimens,1
11 specimens,70
111 specimens,1
117 specimens,1
118 specimens,1
12 specimens,66
121 specimens,1
13 specimens,52
14 specimens,54
141 specimens,1
148 specimens,1
15 specimens,50
16 specimens,35
166 specimens,1
17 specimens,36
18 specimens,36
180 specimens,1
19 specimens,30
197 specimens,1
1994/11/23,2
2,22818
2 specimens,1168
20 specimens,29
21 specimens,23
22 specimens,25
23 specimens,19
24 specimens,13
25 specimens,22
26 specimens,17
27 specimens,13
28 specimens,8
29 specimens,11
3 specimens,610
30 specimens,21
31 specimens,7
32 specimens,8
33 specimens,7
34 specimens,8
35 specimens,9
36 specimens,11
37 specimens,5
38 specimens,3
39 specimens,3
4 specimens,367
40 specimens,13
41 specimens,3
42 specimens,6
43 specimens,6
44 specimens,6
45 specimens,7
46 specimens,5
47 specimens,1
48 specimens,4
49 specimens,2
5 specimens,326
50 specimens,8
51 specimens,2
52 specimens,5
53 specimens,1
54 specimens,6
55 specimens,2
56 specimens,3
57 specimens,2
58 specimens,1
59 specimens,7
6 specimens,210
60 specimens,1
61 specimens,4
62 specimens,1
63 specimens,1
64 specimens,1
65 specimens,2
66 specimens,2
67 specimens,5
68 specimens,2
69 specimens,3
7 preserved specimens,1
7 specimens,152
70 specimens,2
72 specimens,2
73 specimens,2
74 specimens,3
75 specimens,1
76 specimens,1
77 specimens,1
79 specimens,1
8 specimens,139
80 specimens,1
81 specimens,3
82 specimens,2
83 specimens,2
85 specimens,2
87 specimens,2
88 specimens,2
89 specimens,1
9 specimens,119
90 specimens,1
95 specimens,1
96 specimens,1
A,20601
Acalle recurvata,2
Accession,976457
Acetabularia,1
Acetabularia calyculus,1
Adult,4662
"Adult, ex larva on Aquilegia canadensis",1
"Adult, ex larva on Arabis glabra",1
"Adult, ex larva on Asclepias syriaca",2
"Adult, ex larva on Fraxinus americana",1
"Adult, ex larva on Juglans cinerea",4
"Adult, ex larva on Pastinaca sativa",2
"Adult, ex larva on Rudbeckia hirta",7
"Adult, ex larva on Salix",7
"Adult, ex larva on Spiraea alba",2
"Adult, ex larva on Urtica dioica",8
"Adult, ex larva on Woolly Aphids on Alder",2
"Adult, ex larva on cabbage",3
"Adult, ex larva on galls on Choke Cherry",2
"Adult, ex pupa on Rumex verticillatus",3
"Adult, mounted",166
"Adult, papered",230
Alcohol Preserved Specimen,245
Alcohol Specimen,4
Alcohol-preserved specimen,18
Amphiroa,4
Antarctosaccion applanatum,1
BMNH,69
Banks. 1905.,1
Banks. 1908.,1
Banks. 1911.,1
Banks. 1924.,1
Beleg und Protokoll,20
Blood,77
Boergesenia forbesii,3
Boodlea composita,1
Bryopsis pennata,1
Bryopsis plumosa,12
CAS,1173
CM,2
CUP,176
Caught 1,78
Caught 1 pocahontas female,1
Caught 10,1
Caught 2,22
Caught 3,6
Caught 4,2
Caught 6,2
Caught 8,1
Caulerpa crassifolia,2
Caulerpa cupressoides,2
Caulerpa fergussoni,1
Caulerpa peltata,9
Caulerpa racemosa,3
Caulerpa scalpelliformis,17
Caulerpa serrularioides,1
Caulerpa serrulata,5
Caulerpa sertularioides,4
Caulerpa taxifolia,10
Caulerpa varavalensis,1
Caulerpa verticillata,1
Chaeromorpha indica,1
Chaetomorpha linum,6
Chaetomorpha media,7
Chamaedoris auriculata,3
Champia compressa var scindica,1
Checklist,2910
Chnoospora,1
Chnoospora implex,3
Chnoospora minima,1
Cladophora fascicularis,12
Cladophora howei,3
Cladophora luteola,1
Cladophora prolifera,2
Cladophora saracenica,1
Cladophora subsimplex,3
Cleared and Stained,1
Codium arabicum,4
Codium coronatum,2
Codium dwarkense,7
Codium elongatum,2
Colectado,192458
Colpomenia sinuosa,3
Colpomenia sinusa,1
Cryptocellus,22
Cryptocellus abaporu,2
Cryptocellus simonis,38
Cryptocellus tarsilae,1
Culture,2255
Cybachrome,1
Cystophora,1
Cystoseira indica,2
Cystoseira trinodis,2
D,80938
Dasya,1
Datenbank,28
Denmark,230
Desmarestia menziesii,2
Detail,56
Detail 1,310
Detail 2,308
Detail 3,176
Detail 4,86
Detail 5,32
Dichyota dumosa,1
Dictyopteris australis,4
Dictyopteris dichotoma,1
Dictyopteris muelleri,1
Dictyopteris plagiogramma,1
Dictyopteris woodwardii,1
Dictyota,7
Dictyota atomaria,2
Dictyota automaria,1
Dictyota bartayresiana,2
Dictyota bartaysiana,1
Dictyota dichotoma,1
Dictyota dichotona,1
Dictyota dumosa,2
Dictyurus purpurascens,2
Dilophus coniegata,1
Dodds and Hisaw 1925,1
Dosilia pydanieli,2
DrawingOrPhotograph,4532
Dried,53
Dried Specimen,2
Drulia browni,8
Drulia cristata,2
Drulia uruguayensis,22
Ejemplar,8454
Emerged specimen,3
Endodesmis verticillata,1
Enteromorpha,1
Enteromorpha bulbosa,3
Enteromorpha clathrata,4
Enteromorpha compressa,2
Enteromorpha intestinalis,3
Enteromorpha linza,5
Enteromorpha tubulosa,11
Entomology,2
EnvironmentalDNA,1171901
Ernodesmis,1
Especimen,48387
Especimen Preservado,1002
Espèce,13162
Exsicati,3
Exsicatti,3780
Exsiccati,1661
F,141494
Felddaten,15
Field survey,2255
Fosliella farinosa,1
Fossil,35
FossilRecord,18900
FossilSpecimen,10750537
FossileSpecimen,723296
Found 1 larva,15
Found 1 larva on Queen Anne's Lace,1
Found 1 larva on Urtica,1
Found 1 larva on willow,1
"Found 1 larva, 2 pupae on A.incarnata",1
"Found 1 larva, about to pupate",1
"Found 1 larva, on hops",1
Found 1 ovum,1
"Found 1 ovum, 3 larvae",1
Found 13 larvae,1
"Found 15 ova, 3 larvae",1
Found 2 larvae,9
Found 2 ova,1
Found 2 pupae,1
Found 20 larvae,1
Found 3 larvae,6
Found 3 larvae on A. incarnata,1
Found 3 larvae on Hops,1
"Found 3 pupae, 8 pupal shells, 4 emerged ova",1
Found 4 larvae,5
Found 4 ova,1
"Found 4 ova, 1 larva",1
Found 5 larvae,2
Found 5 larvae on Sium suave,1
Found 5 ova,1
"Found 5 ova, 2 larvae",1
"Found 5 pupae,11 pupal shells",1
Found 50 ova on Rumex crispus,1
Found 6 larvae,3
Found 6 ova,1
Found 7 ova,1
"Found 7 ova, 4 larvae",1
Found 8 larvae,1
Found 8 old ova,1
"Found 8 ova, 1 larva",1
Found 9 larvae,1
Found few ova on Arabis divaricarpa,1
"Found few ova, 1 larva",1
"Found few ova, 3 larvae",1
"Found many ova, 3 larvae",1
"Found many ova, 8 larvae",2
"Found many ova, 9 larvae",1
Found many pupal shells on or near A. incarnata,1
Freeze-dried larva,9
"Freeze-dried ova, on Butternut",3
"Freeze-dried ova, on Pin Cherry",2
Freeze-dried pupa,13
G,39
GLOBEC,290
Genital preparation,382
GenomicDNA,118835
Germoplasm/seed,2149
Germplasm,17353
Gracilaria verrucosa,1
Gymnogongrus antarcticus,1
HUMAN_OBSERVATION,23504724
Habit,156
Habit 1,24
Habit 2,24
Halimeda incrassata,1
Halimeda macroloba,1
Halimeda tuna,1
Halymenia,5
Halymenia amoena,1
Halymenia porphyroides,10
Halymenia venusta,7
Halymenia yenusta,3
Hanson. 1942.,1
HebariumSpecimen,2
Helimeda gracilis,2
Helimeda incrassata,2
Helimeda opuntia,12
Herbarium sheet,8312
Herbarium specimen,2
HerbariumRecord,3
HerbariumSpecimen,56
Heteromeyenia stepanowii,2
Human Observation,12303106
Human observation,12
HumanObservation,1020080831
"HumanObservation, PreservedSpecimen",1
Humanobservation,54887
Hydrocalathrus clathratus,5
Hydrocalathus clathratus,5
Hypnea,5
Hypnea cervicornis,22
Hypnea musciformis,7
Hypnea spicifera,1
Hypnea valentiae,31
Hypnea valletie,1
ICSTZM,1
"Ilha de Maracá, SEMA Estação., North side of island at Três Igarapés, ca. Ca. 2km along picada from sub-camp. Open sunny area of tree fall in open seasonal evergreen forest (lower and less dense tha at base camp on south of island).",1
Illustration,6
Image,1447
Imagen,2
Iridaea cordata,3
J,214
Jania adhaerens,1
Juvenile,486
KSP006090,1
KSP006115,1
KSP006117,1
KSP006118,1
L,59643
LITERATURE,21
Label,110
Label 1,260
Label 2,262
Label 3,160
Label 4,56
Label 5,14
Labelscan,22
Laminaria,1
Larva,204
Laurencia padicularioiodes,1
Leaves,226
Leaves 1,28
Leaves 2,28
Leaves 3,10
Leaves 4,4
Leptosarca simplex,1
Levringea borgesenii,1
Literatur,129
Literaturangabe,1159
Literaturauswertung,17
Literature,211698
Living,3229
Living Organism,6956
LivingSpecimen,1443431
"LivingSpecimen, PreservedSpecimen",1
Livingspecimen,1918
Lobophora variegata,2
MATERIAL_SAMPLE,24012728
MCCI,6
MCZ,211
MNHN,82
MRSN,4
MVZ,792
MZUF,26
MZUR,4
MachineObservation,12580098
MaterialSample,3231757
McCafferty et al. 1993,2
Metania fittkaui,6
Metania reticulata,28
Microscope slide,2
Monostroma hariotii,8
Mounted specimen,19
Moving Image,15
MultimediaObject,3149
Museum specimen,100965
NHMW,457
NMP,152
Native and Naturalized Flora of,15
Nest,9
NomenclaturalChecklist,9793
None,11513
Notebook entry,7
O,4184355
OBSERVATION,105
Observado,20131
Observation,10269645
ObservedSpecimen,151767
Occurrence,6357344
Oncosclera navicella,6
Oncosclera spinifera,2
Other museum,8
OtherSpecimen,14
P,931
PRESERVEDSPECIMEN,67676
PRESERVED_SPECIMEN,6079
PS,37
Padina,13
Padina gymnospora,2
Padina pavonica,1
Padina tenuis,1
Padina tetrasomatica,22
Palmaria decipiens,94
Papered specimen,42
Photo,181
Photocopy,1
Photograph,122
Photograph of preservedspecimen,1
Photographed,3
Photographs,1
Photography,3
Phyllophora antarctica,4
Physical Specimen,116
Physical specimen,9407
Physicalspecimen,390
Pimmed Specimen,1
Pinned Spcimen,1
Pinned Specimen,32524
Pinned Specimens,1
Pinned Specimne,1
Pinned Speicmen,2
Pinned Speimen,1
"Pinned material, also, 1 unsexed",1
Pinned specimen,7
"Pinned specimen, stainless steel dorsally through thorax.",1
Plant Virus,21
Plants of Colorado,17
Plants of Jefferson County Open,69
Plants of the Mono Lake Basin,15
Pocockiella,1
Pocockiella variegata,3
Porifera,36
Porphyra endiviifolium,1
Preservado,5317
Preserved,2688
Preserved Specimen,977749
Preserved specimen,31475
"Preserved specimen, pups living",3
PreservedRecord,3945
PreservedSpecimen,149723627
"PreservedSpecimen, HumanObservation",1
PreservedSpecimen ,6
Preservedspecimen,3122575
PresvervedSpecimne,7
Published Report,2
Radiospongilla amazonensis,2
Reportado,6717
Resume here,1
Rhizoclonium tortusum,1
Rosenvingea,6
Rosenvingea orientalis,4
Rosenvingeia intricata,1
Ross. 1938.,1
Ruth ct. 1,2
S,1818322
SMNS,5
SP,32374
SUHC,1282
Sa w 1,1
Sample,197738
Sargassum,52
Sargassum cinereum,1
Sargassum densifolium,2
Sargassum filipendula,9
Sargassum granuliferum,5
Sargassum hystrix var. buxifolium,2
Sargassum hystrix var. spinulosum,5
Sargassum hystrize var spinulosum,1
Sargassum ilicifolium,4
Sargassum merrifieldii,1
Sargassum myriocystum,1
Sargassum plagiophyllum,1
Sargassum portierianum,1
Sargassum swartzii,3
Sargassum tenerrimum,7
Sargassum verruculosum,1
Sargassum vulgare,4
Sargassum wightii,3
Sargassum wrightii,4
Saturnospongila carvalhoi,4
Saw  1,1
Saw 1,439
Saw 1 female,1
Saw 2,193
"Saw 2, in copula",1
Saw 3,98
"Saw 3, inc. 1 pocahontas form female",1
Saw 4,39
Saw 5,27
Saw 6,5
Saw 7,1
Saw few,212
Saw many,27
Sheet,370
Sighting,16
Skin; Tissue,1179
Slide Mount,176
Sound,10701
Sound Recording,34258
Spatoglossum,7
Spatoglossum asperum,13
Specimen,5065793
Spécimen,174
Still Image,25
StillImage,4359
Stoechospermum,4
Stoechospermum marginatum,28
StorageUnit,368853
Thelyphonellus,48
Thelyphonidae,1
Tissue,2
Trochospongilla gregaria,4
Trochospongilla paulula,8
Trochospongilla pennsylvanica,4
Trochospongilla variabilis,2
Type specimen,131
UNKNOWN,33
USNM,436
UTU,137
Udotea indica,5
Ulva beytensis,3
Ulva fasciata,66
Ulva lactuca,24
Ulva reticulata,18
Ulva rigida,10
Unknown,34242
Valoniopsis forbesii,1
Valoniopsis pachynema,5
Voucher,2291
Voucher reared,218
Ward and Berner. 1980.,2
Y,837
Young,345
ZMB,27
ZMUC-R,25
ZOBODAT,6
Zloty. 1996.,1
alcohol/microscope,1
basisOfRecord,3
collection unit,1701
dead seed sample,199
drawing,26
dry,3
dry sample,14
enteromorpha intestinalis,2
exemplar,3
exsicatti,18
exsiccati,406
fluid preparationskeleton,1
fluid specimen,7870
fossil specimen,60210
fossilSpecimen,16414
fossilspecimen,74854
herbarium specimen,111529
humanObservation,796212
humanobservation,86491205
imagen,3
imagen tipo,1
juvenile,51
larva,6
larvae,10
literature,1
living but as yet not sown seeds,986
"living, growing plant",6189
livingspecimen,99101
machineobservation,7
materialSample,2775
micro pinned laterally into pith block on single stainless steel pin.,1
microscope slide,8
mounted specimen,49
observation,5120197
occurrence,2700
papered specimen,287
physical specimen,1436
physical specimen+79:7971:80,1
physicalspecimen,124
pinned specimen,2
"pinned specimen, stainless steel dorsally through thorax.",14
"pinned specimen, stainless steel dorsally throught thorax.",1
"pinned specimen, stainless steel pin dorsally through thorax. ",1
preserved,106644
preserved English,1
preserved Specimen,1
preserved in alcohol,3298
preserved specimen,445921
preservedSpecimen,148473
preservedsample,3435
preservedspecimen,6117127
sown but as yet not germinated seeds,174
spe,921
specimen,200251
specimen photocopy/scan,1
specimen(SP),966557
unknown,146
voucher,533307
 PreservedSpecimen,1
