year,reps
,3586459
1968,304643
1966,294176
1969,284057
1964,281830
1967,280524
1971,272894
1970,271268
1965,257959
1963,256538
1972,254767
1974,237354
1979,232555
1962,229930
1961,227917
1973,226593
1975,222953
1978,210105
1976,205953
1980,204130
1984,204042
1977,195689
1960,191549
1958,182760
1959,181226
1985,176102
1983,170202
1982,166988
1981,166895
1957,160715
1993,158890
1996,158357
1990,155385
1987,155347
1991,149539
2002,149231
1986,147454
1995,147451
1998,146353
1997,145943
1989,145055
1992,144211
1994,142361
1931,142188
1929,142062
1950,141716
2000,140219
2001,138951
1988,136430
1952,136015
1930,133663
1999,131862
1948,131861
1954,131825
1939,131581
2004,131381
1938,130763
1949,130521
1956,127672
2003,125647
1953,125031
1951,124990
1932,124019
1937,121519
2006,117890
1955,114487
1940,113995
2005,111160
1936,111133
1934,110518
2007,109683
1947,109398
1933,104875
1926,104772
2008,103402
2011,99428
1909,97778
1927,97117
1928,96075
2009,95987
2010,95459
1925,94863
1946,93029
1941,90184
1911,89605
1908,89072
2012,88356
1923,88342
1935,87059
1912,84876
1922,82581
1913,82413
1924,81504
1905,79349
1910,78792
1916,76004
1920,73763
1906,71496
1921,71329
1914,71323
1915,71100
1903,70947
2013,68055
2014,67747
1901,67473
1917,67050
1945,65681
1894,64563
1896,63980
1919,63527
1897,63292
1900,63173
1907,62903
1942,62883
1895,62321
1902,60825
1904,60703
1899,59418
1898,59029
1918,58024
2015,54937
1892,52443
1891,50825
1893,49367
1944,49039
1889,44409
1888,43824
2016,42510
1890,41076
1943,37798
1887,33720
0,30222
1885,29825
1884,26870
1886,26265
1860,22523
1883,21849
1880,20703
1818,18306
1882,17435
1881,16841
1879,16523
1700,15190
1878,14827
1874,14255
1877,14049
1875,13819
1876,12650
1865,11842
1873,11730
2017,10105
1872,9825
1800,9199
1871,8650
1870,7012
1869,5485
0000,4869
1868,4550
1862,4519
1861,4518
1859,4448
1866,4262
1867,4049
1863,4044
1864,3745
1850,3288
9999,2808
1853,2679
1848,2639
1856,2382
1857,2343
1111,2300
8888,2155
1845,2082
1858,2025
1854,1950
1847,1782
18,1782
1838,1704
1849,1630
1855,1626
1851,1545
1846,1438
1842,1344
1844,1267
8,1255
1834,1213
1852,1187
6,1160
1840,1112
7,1108
19681969,1095
1839,1057
1843,1052
1,1026
1837,1014
17,1006
1830,977
28,950
1829,947
16,917
12,906
4,905
11,873
14,855
1835,849
27,845
24,844
20,835
1841,830
22,825
26,824
10,816
25,814
29,802
1836,784
9,781
13,775
19,773
15,765
1820,740
23,718
5,704
1832,701
2,698
1827,673
21,662
3,651
1828,613
30,583
1833,567
1815,562
1821,521
1831,517
1825,478
1826,470
1819,455
1810,398
1822,353
2063,348
2067,312
1823,307
1824,300
2064,299
1817,247
2029,202
1816,178
31,158
1750,119
19641965,112
2028,109
1814,103
2027,102
1801,95
1762,95
2025,86
2026,77
1804,77
1809,74
1769,67
1808,66
19741975,66
1812,62
1799,57
2018,52
1199,47
19691970,46
2062,43
55,43
18951905,40
2022,38
1794,36
2019,36
2023,33
1811,32
1807,32
1797,32
1813,31
198,31
1193,30
1754,28
1802,26
1803,24
2024,23
2020,23
1770,22
193,20
201,20
2991,20
19901991,19
19701971,18
19992000,18
19902000,18
2061,17
2060,16
1119,16
1766,15
1071,15
1793,14
6197,14
-1931,13
1791,13
1197,13
20022003,13
40394,13
197,12
190,12
1013,12
1192,12
1806,12
11992,12
24228,12
1783,11
17746,11
1805,11
1000,10
1795,10
192,9
2040,9
1032,9
195,8
2077,8
1796,8
200,8
1790,8
189,8
1196,8
199,7
1015,7
1735,7
1014,7
66,7
1016,7
25416,7
1707,7
1036,7
2030,7
24556,6
1025,6
23939,6
1194,6
1788,6
1771,6
188,6
19691971,5
25375,5
1633,5
24641,5
1774,5
1789,5
20092010,5
2021,5
196,5
1749,5
2107,5
25409,5
1026,4
1768,4
1755,4
1687,4
1027,4
1736,4
22438,4
1070,4
29850,4
1030,4
24888,4
24550,4
896,4
969,4
23108,4
1017,4
2041,4
19371900,4
191,4
23904,4
1035,4
1779,4
9166,4
3008,4
19191920,4
1691,4
22440,4
20052006,4
1778,4
1723,4
1620,4
1669,4
22436,4
2050,3
19811982,3
23585,3
2045,3
111,3
1033,3
23901,3
2099,3
2892,3
187,3
1763,3
1798,3
2205,3
2090,3
1690,3
1065,3
97,3
2204,3
8927,3
1034,3
24648,3
1759,3
1011,3
1752,3
194,3
905,3
1195,3
1665,3
1785,3
22525,3
1050,3
24552,3
1767,3
1712,3
61,3
1022,3
1697,3
2035,3
1784,3
1787,3
1719,3
23900,3
1717,3
2103,3
1734,3
24638,3
63,3
1761,3
1074,3
62,3
1577,3
20062007,3
1742,3
2076,3
23910,3
2965,3
1668,3
24676,2
1072,2
1757,2
36,2
1201,2
24227,2
23902,2
1658,2
2912,2
1041,2
2898,2
2199,2
1200,2
1603,2
23079,2
973,2
25323,2
23101,2
23903,2
1706,2
1722,2
22753,2
2046,2
24615,2
1073,2
1084,2
24945,2
23920,2
1029,2
1718,2
1748,2
2037,2
1640,2
1660,2
1743,2
1056,2
5005,2
19431945,2
2087,2
2997,2
23972,2
1191,2
1018,2
23911,2
4895,2
165,2
1189,2
907,2
2096,2
2104,2
22270,2
1714,2
20112012,2
1037,2
1023,2
23923,2
25368,2
9132,2
184,2
23922,2
24199,2
1692,2
203,2
24553,2
19911992,2
19661967,2
22441,2
4890,2
1614,2
2094,2
1059,2
2038,2
1760,2
22439,2
2049,2
2088,2
24916,2
1045,2
92,2
1024,2
9111,2
966,2
2069,2
19812000,2
2039,2
23988,2
1532,2
2085,2
1626,2
1689,2
29849,2
1792,2
881,2
1601,2
19621963,2
1012,2
140,2
78,2
1753,2
9840,2
1664,2
1052,2
9135,2
1046,2
1067,2
19181920,2
1703,2
1574,2
23122,2
2418,2
1007,2
1031,2
1044,2
23931,2
23782,2
9126,2
1782,2
25365,2
2111,2
1063,2
3189,1
1083,1
2994,1
1094,1
193?,1
916,1
1550,1
1629,1
5594,1
4968,1
24624,1
24719,1
8937,1
2971,1
2903,1
23930,1
29571,1
3015,1
19831984,1
1617,1
19581963,1
1741,1
24940,1
1400,1
1396,1
26016,1
18745,1
17712,1
22075,1
2201,1
4188,1
24554,1
9680,1
1005,1
1186,1
623,1
22729,1
24540,1
9832,1
197576,1
18733,1
22750,1
24918,1
1608,1
1555,1
29402,1
24492,1
1772,1
24327,1
3291,1
1773,1
1672,1
23864,1
19591963,1
17693,1
180,1
19751976,1
17692,1
9630,1
1600,1
9600,1
24693,1
183,1
1495,1
981,1
22718,1
21420,1
2977,1
400,1
24941,1
24611,1
22754,1
1683,1
23115,1
24709,1
1008,1
24933,1
3010,1
1656,1
42,1
24655,1
1730,1
1594,1
1699,1
1365,1
1635,1
64,1
1598,1
1720,1
2982,1
7374,1
9129,1
2913,1
126,1
18744,1
19266,1
35737,1
24968,1
9122,1
1698,1
1627,1
2074,1
101895,1
1612,1
1066,1
2052,1
1092,1
19571963,1
18743,1
25374,1
192?,1
25380,1
217,1
1677,1
205,1
998,1
24412,1
18556,1
1726,1
8199,1
2095,1
28726,1
23583,1
21363,1
2896,1
1498,1
1694,1
9131,1
20082010,1
2693,1
2984,1
1064,1
23969,1
211,1
26270,1
2036,1
2044,1
2051,1
1060,1
23783,1
2924,1
9137,1
24673,1
31515,1
1725,1
1724,1
1732,1
19610,1
31178,1
145,1
183X,1
8987,1
986,1
9171,1
9162,1
2300,1
2032,1
19611963,1
9172,1
19401900,1
2042,1
19371938,1
1631,1
9720,1
19341938,1
176,1
1221,1
1075,1
1590,1
9983,1
25171,1
22765,1
29045,1
22848,1
30761,1
5000,1
31675,1
32130,1
26017,1
27936,1
23114,1
1049,1
4922,1
24499,1
17715,1
24645,1
24569,1
24702,1
18724,1
25280,1
24555,1
24324,1
23779,1
1053,1
1688,1
1609,1
1624,1
1606,1
901,1
1526,1
1716,1
1178,1
2198,1
1051,1
2875,1
1019,1
19951996,1
202,1
1003,1
2218,1
106,1
24640,1
7313,1
301,1
21892,1
21987,1
23940,1
1619,1
24567,1
3365,1
22013,1
22769,1
25425,1
24669,1
1764,1
1659,1
1520,1
25679,1
1564,1
1751,1
19502000,1
989,1
2995,1
1006,1
1775,1
1009,1
1431,1
24685,1
9618,1
895,1
2070,1
9855,1
2073,1
2580,1
25051,1
18960000,1
23773,1
1560,1
40,1
24845,1
86,1
28320,1
22861,1
22723,1
24328,1
24681,1
1733,1
17739,1
8193,1
2053,1
2879,1
22364,1
1076,1
-1887,1
23111,1
1394,1
21673,1
1675,1
2893,1
70,1
8896,1
971,1
18961897,1
19851986,1
20008,1
2940,1
31356,1
2033,1
19581960,1
2392,1
577,1
105,1
3118,1
2054,1
2081,1
95,1
3112013,1
22019,1
21367,1
18758,1
25596,1
24763,1
196?,1
23113,1
23138,1
24687,1
23936,1
29075,1
29607,1
24565,1
-186,1
26179,1
27222,1
24299,1
25313,1
24905,1
24533,1
24541,1
22719,1
1089,1
5195,1
1078,1
1531,1
1744,1
1565,1
28256,1
1039,1
1061,1
2989,1
2034,1
2048,1
19551963,1
19561963,1
19601963,1
1738,1
1402,1
-192,1
9130,1
24551,1
894,1
883,1
975,1
24278,1
24573,1
743,1
19921994,1
164,1
2966,1
1632,1
2719,1
23906,1
1696,1
2118,1
1314,1
19801981,1
2110,1
2084,1
8112,1
7008,1
2993,1
37746,1
2952,1
2961,1
22839,1
19931994,1
1547,1
1777,1
2200,1
182,1
93,1
961,1
186X,1
2887,1
1172,1
7932,1
9139,1
990,1
20112,1
1595,1
1095,1
2068,1
2105,1
2047,1
23937,1
20649,1
1500,1
24955,1
21744,1
24368,1
28276,1
23905,1
21995,1
24697,1
1020,1
1578,1
1575,1
222,1
2106,1
2937,1
1190,1
1054,1
185,1
19967,1
88,1
6940,1
19761988,1
19201921,1
7931,1
20005,1
1062,1
1088,1
2043,1
1765,1
2031,1
209,1
887,1
2189,1
888,1
9736,1
1479,1
889,1
25385,1
1604,1
2368,1
26342,1
21718,1
28277,1
7978,1
1058,1
1641,1
1652,1
1682,1
24495,1
1258,1
1647,1
1519,1
891,1
19??,1
1028,1
22043,1
1091,1
2191,1
1187,1
19321937,1
1709,1
1605,1
1680,1
25120,1
22029,1
23234,1
1123,1
6567,1
23987,1
974,1
1040,1
25405,1
24722,1
22798,1
24805,1
20394,1
22443,1
