"establishmentMeans","reps"
"collected with thrown stone",1
"collision",2
"colony nesting",2
"confiscated",19
"cultivated",9957
"Cultivated exotic",1
"Cultivated(probably)",1
"Cultivated.",89
"Cultivated. Origin known.",45
"Cultivated. Origin not known.",36
"Cultivation",11
"Cultured in aquarium",2
"Cultured in water",1
"Cutlivated native plants",1
"d",1
"dead in nest",3
"dead in net",29
"dead on road",1
"died after eating poisoned carrion",1
"died from disease",1
"died from obstruction in stomach, food had backed up in esophagus to skull",1
"died in captivity",1
"died in fish net",1
"died in group epidemic",1
"died in hand after removal from line trap",1
"died in nest after 40 minutes of heavy rain, with female RCL 2339",1
"died in net",1
"died of enteritis",1
"died of exhaustion",1
"died of exposure",1
"died of exposure in cold snap",4
"difficulty flying",1
"dog kill",6
"dog kill or shot",1
"dog kill?",2
"domesticated",1
"DOR=dead on road, road kill?",2
"DOR=dead on road?",1
"drowned",8
"drowned in can of water",1
"drowned in fish net",4
"drowned in fish nets",29
"drowned in gill net",1
"drowned in net",23
"drowned in nets, one of 15000 drowned",1
"drowned in pool",1
"drowned?",1
"e",1
"eagle kill",4
"electrocuted",1
"Endemic",2
"escape",8
"escape cultivation",2
"escaped",2
"Escaped Cultivation",1
"Escaped ornamental",1
"escapee? From captivity",1
"established",1
"established - noxious",3
"establishmentMeans",1
"euthanized",3
"euthanized, captive",1
"excavated at Armant, Published in 'Temples of Armant',",1
"excavated at Fort Albany, date of English occupation 1679-1721",35
"excavated from 2 ft below surface at Woodlands Indian Site, 1955 April 03",1
"excavated from pre-Columbian Iroquois middens, 5 elements removed 4 June 1969 for L L Hargrave, Prescott College, Prescott, Arizona by J C Barlow, 1957 excavation",1
"excavated from prehistoric 1500 AD Iroquois Village",1
"excavated from swamp",1
"excavated in 1967",1
"excavated in swamp at 16 ft, 1946-1956",1
"excavated in swamp at depth of 16 feet, between 1946 and 1956",1
"excavated in swamp at depth of 16 feet, between 1946 and 1956, see description in letter by H G Savage",1
"excavated Sept 1946 at Cahiague Indian Village Site - 1615",2
"excavated Sept 1946 at Cahiague Indian Village site of 1615",1
"excavated Sept 1946 from Cahiague Indian village site of 1615",1
"excavated, many remains dated English occupation 1679-1721",1
"F",1
"feathers caked with ice prevented it from flying",1
"fell from nest",1
"fell in Rideau Canal",1
"fell out of nest",2
"fell out of sky while flying",1
"fence kill",7
"field photo",6
"Finland, Nylandia, Helsinki, Viikki",1
"fishing line wrapped around wings",1
"flew down chimney of partly burned house",1
"flew into train",1
"flightless",2
"flightless when collected",1
"FNA 20",3
"FNA 24",21
"FNA 26",6
"found alive",26
"found alive 12 November, died 16 November",1
"found alive 15 Dec 2004 on snow bank",1
"found alive 15 Jan 2000",1
"found alive 1967 September 16",1
"found alive 2005 Nov 10, fish hook in mouth and fishline wrapped around left primaries",1
"found alive 24 Jan 1992",1
"found alive after storm",1
"found alive and severely injured on truck after arrival in Thunder Bay",1
"found alive but dying",1
"found alive by children, kept captive",1
"found alive during Eastern gale",1
"found alive floating in water",1
"found alive in pesticide spray area, died later",1
"found alive in rain gutter",1
"found alive on 26 March, died 5 April",1
"found alive on beach",1
"found alive on golf course",1
"found alive unable to fly",1
"found alive with broken wing",1
"found alive, and caged for one week",1
"found alive, captive for 1 day",1
"found alive, captive for 1 day then euthanised",1
"found alive, captive for 12 days",1
"found alive, captive for a couple days",1
"found alive, dead shorlty after",2
"found alive, died",2
"found alive, died same day as found, toxic poisoning",1
"found alive, died shortly afterwards",2
"found alive, euthanized",1
"found alive, injured",1
"found alive, later died from pesticide poisoning, from spray area",1
"found alive, oil soaked",1
"found alive, oiled",1
"found alive, tame and uninjured, soon died",1
"found alive, unable to fly",1
"found alive, young bird from late brood left behind in box, prob too weak to follow parents, and picked up exhausted in garden after prolonged rain",1
"found almost dead",1
"found among duck feathers",1
"found at entrance to burrow, Weasel?",1
"found attached to burdock",2
"found blind",1
"found blind, died in captivity",1
"found by workers in burnt over forest",1
"found covered in ice",1
"found crippled",1
"found dead",1622
"found dead 100 ft from nest, taken from pipped egg",1
"found dead 30 September 1996 and then buried 1 October 1996, dug up December 1996",1
"found dead 50 yds from water after stormy night",1
"found dead 8-10 inches high on burr plant",1
"found dead across road from nest in White Pine",1
"found dead after a heavy storm",1
"found dead after aircraft sprayed village with fuel oil and DDT (dichloro-diphenyl-trichloroethane)",1
"found dead after sleet storm",1
"found dead and decayed",1
"found dead and forwarded to Dept Game and Fisheries, Toronto, where it remained in cold storage until 14 Nov when we received it in flesh",1
"found dead and frozen",1
"found dead as a beach kill",1
"found dead as a beach kill February 1985",2
"found dead at base of cliff",3
"found dead at base of silo",1
"found dead at base of tree with mouse in talons",1
"found dead at Englehart, Ont",1
"found dead at ice edge",1
"found dead at quarry siding",1
"found dead at roadside",1
"found dead at sea, probably drowned in net",1
"found dead at tide level",1
"found dead at waters edge",1
"found dead below falls",2
"found dead below nest",1
"found dead beside railway tracks",1
"found dead beside road",3
"found dead by egg in crevice, had shot wounds",1
"found dead by Gould, A",1
"found dead by nest",7
"found dead by railroad",1
"found dead by road",3
"found dead by Trudeau, S",2
"found dead by Vitale, V",1
"found dead impaled on burdock",1
"found dead in a camp",1
"found dead in barn",3
"found dead in barn after frost",1
"found dead in breeding colony",1
"found dead in building",1
"found dead in buildings",5
"found dead in bush, no visible cause of death",1
"found dead in cabin",2
"found dead in chain link fence",1
"found dead in chimney",3
"found dead in city far from water",1
"found dead in colony",10
"found dead in crotch of tree",1
"found dead in feeder, had ingested a Blue Jay",1
"found dead in fence",1
"found dead in field",1
"found dead in fireplace",1
"found dead in fish net",2
"found dead in furnace air vent in basement",1
"found dead in garage",1
"found dead in garden",4
"found dead in gill net",1
"found dead in house",6
"found dead in junk pile",1
"found dead in lake",1
"found dead in little creek at lignite camp",1
"found dead in marsh",1
"found dead in mist net",5
"found dead in mouse trap in lane",1
"found dead in nest",40
"found dead in nest after heavy rain",3
"found dead in nest box",6
"found dead in nest box No 14",1
"found dead in nest box on top of one egg and four young",1
"found dead in nest box, perahps by a Sparrow",1
"found dead in nesting cavity",1
"found dead in old building",1
"found dead in parking lot",1
"found dead in parking lot after a storm",19
"found dead in pesticide spray area",4
"found dead in ROM Chinese Library",1
"found dead in shed",1
"found dead in snow bank",1
"found dead in snow drift",1
"found dead in Spider Monkey Pool",1
"found dead in tern colony",1
"found dead in water",3
"found dead in window of deserted camp",1
"found dead in wood pile",1
"found dead in woods",1
"found dead in yard",2
"found dead inside ROM",1
"found dead near nest",3
"found dead near school",1
"found dead November 19 (victim of N Shrike)",1
"found dead of starvation",1
"found dead on 21st, on road, collected on October 18 1917",1
"found dead on artificial raft",1
"found dead on beach",15
"found dead on causeway",1
"found dead on cliff top",1
"found dead on CNR railway tracks",1
"found dead on CPR railway tracks",1
"found dead on fencepost, no injuries?",1
"found dead on floating Tern nesting raft, killed by Hurricane Fran, September 1996",1
"found dead on fresh snow",1
"found dead on front of train originating at Vancouver, British Columbia",2
"found dead on ground below nest",1
"found dead on Hwy",33
"found dead on Hwy shoulder",1
"found dead on ice",4
"found dead on ice, starved",1
"found dead on kithcen floor of sherarers quarters, mummified",1
"found dead on lake",1
"found dead on lakeshore",2
"found dead on lakeshore, shot",1
"found dead on lakeshore, very thin",1
"found dead on land",2
"found dead on lawn",5
"found dead on lawn, mummified",1
"found dead on nest",5
"found dead on new ice",1
"found dead on ocean beach",1
"found dead on ocean beach during storm",1
"found dead on pond",1
"found dead on railway track",1
"found dead on railway tracks",1
"found dead on river ice",1
"found dead on road",10
"found dead on road, fresh",1
"found dead on roadside",1
"found dead on roof",1
"found dead on sand dunes",1
"found dead on shore",1
"found dead on side of road",3
"found dead on snow back in hills",1
"found dead on snow on beach December 21, when skinned on December 28 it was fat and in good condition with full stomach and showing no signs of injury, died about December 10 (JLB)",1
"found dead on snow, battered",1
"found dead on street",4
"found dead on Teck Hughes property",1
"found dead on tennis court",1
"found dead on tidal flat",1
"found dead on top of building",1
"found dead on top of fresh snow under hydro lines, wire kill",1
"found dead on track",1
"found dead on train",2
"found dead on trash heap",2
"found dead on verandah",2
"found dead on water",1
"found dead on wharf",1
"found dead on wire",1
"found dead partly decomposed, killed by Hurricane Fran, September 1996",2
"found dead tangled in Gill net",1
"found dead under bird feeder",1
"found dead under hydro line",1
"found dead under nest",2
"found dead under wires, wire kill?",1
"found dead with a number of others after heavy snow",1
"found dead with bill caught in screen door",1
"found dead with broken wing",2
"found dead with fish hook in its abdomen",1
"found dead, 1 of 26 found dead under a Martin house at the end of 8 days of cold wet weather",25
"found dead, appeared to have a fight with mink",1
"found dead, broken neck",1
"found dead, caught by bill in fly screen",1
"found dead, caught in fence by leg",1
"found dead, caught in fence, broken neck",1
"found dead, claw caught in barbwire fence",1
"found dead, covered with oil",1
"found dead, decomposed",4
"found dead, decomposed, killed by Hurricane Fran, September 1996",6
"found dead, desiccated",1
"found dead, dessicated",1
"found dead, dessicated, emaciated",1
"found dead, drowned?",1
"found dead, Earwig in throat, possible cause of death",1
"found dead, eaten by ants",1
"found dead, electrocuted by fence",1
"found dead, emaciated",14
"found dead, emaciated, impaled on Cholla cactus",1
"found dead, entangled in cord and mud",1
"found dead, escaped cage bird",2
"found dead, escaped cage bird; found July 22, 1954 on court at 2 Sultan St, Toronto",1
"found dead, exposed to herbicide",1
"found dead, floating in pond",1
"found dead, floating on bay",1
"found dead, floating on water",1
"found dead, found dead with air rifle pellet in head",1
"found dead, found in nest with RAD 1078",1
"found dead, found on shore 1926 April 22",1
"found dead, fresh",6
"found dead, frozen",2
"found dead, frozen in stream",2
"found dead, had broken wing",1
"found dead, half dozen dents in skull",1
"found dead, hanging by feet which were tangled by thread",1
"found dead, hanging by neck to fence wire",1
"found dead, hanging from a pole",1
"found dead, hanging in tree",1
"found dead, head caught in fence",2
"found dead, head injury",1
"found dead, hit wires?",1
"found dead, intestines, skin etc, gorged with blood",1
"found dead, killed by barbed wire?",1
"found dead, killed by dog",1
"found dead, killed by Great-horned Owl?",1
"found dead, killed by hunters",1
"found dead, minus 42 degrees F",1
"found dead, minus head",1
"found dead, mummified found dead Jun 21 1975 on beach by dump",1
"found dead, no injury?",1
"found dead, oil soaked",3
"found dead, oiled",8
"found dead, old shot wound",1
"found dead, one day after being shot",1
"found dead, one of 26 found under a Martin House at the end of eight days of cold wet weather",1
"found dead, one of twenty-six found under a Martin House at the end of eight days of cold wet weather",3
"found dead, partly decomposed, killed by Hurricane Fran, September 1996",2
"found dead, partly eaten",1
"found dead, partly eaten by rats",1
"found dead, probably killed at night by wire or house-CL",1
"found dead, see comments",1
"found dead, seen alive 2011 December 27-29",1
"found dead, shot",14
"found dead, shot, emaciated",1
"found dead, skin gorged with blood",1
"found dead, skin neck and organs gorged with blood, 2 shot in abdomen",1
"found dead, skin, neck intestines gorged with blood",1
"found dead, tangled in fish line",1
"found dead, trapped in kitchen",1
"found dead, under aerial",1
"found dead, under colony",1
"found dead, under high tension hydro wires",1
"found dead, under hydro wires",1
"found dead, under nest",4
"found dead, under power line",3
"found dead, under power lines",1
"found dead, under telephone wires on roadside",1
"found dead, under wires",2
"found dead, under wood pile",1
"found dead, very emaciated",1
"found dead, very thin",1
"found dead, wire kill",2
"found dead, wire kill?",1
"found dead; picked up at Service Station, prob carried dead in grill from the north",1
"found dead?",3
"found dead? (FDR = ? found dead on road)",2
"found dessicated, carcass",1
"found dessicated, carcass caught on burdock",1
"found disabled",1
"found drowned in trough by A Loughrey",1
"found dying",27
"found dying in garden",1
"found dying on bank of Rio Paleenque",1
"found dying on lake shore Feb 27, died Feb 28",1
"found dying on lawn",1
"found dying on shoreline",1
"found dying with both eyes closed with pox",1
"found dying, emaciated",1
"found dying, injured in trap",1
"found dying, pesticide poisoning",1
"found dying, shot",3
"found eaten by scavengers",1
"found emaciated",1
"found emaciated and weakened",1
"found exhausted, died",1
"found floating in lake",1
"found floundering on its back",1
"found freshly killed",1
"found frozen",4
"found frozen in ice",1
"found frozen in snow storm",1
"found heavily oiled",1
"found ill",14
"found ill and weak",1
"found ill in census area, ca 6 hrs after spraying",1
"found ill on Museum steps",1
"found ill, 18 December",1
"found ill, captive for 2 days",1
"found ill, captive for three days",1
"found ill, died soon after",1
"found ill, emaciated, wild caught",1
"found ill, euthanized",1
"found ill, large watery bubble on left side near wing to tail",1
"found ill, oil soaked",1
"found ill, starvation?",1
"found ill, very thin",1
"found impaled and stuck on Burdock bush with female",1
"found impaled and stuck on Burdock bush with male",1
"found in burial",1
"found in destroyed nest",1
"found in dying condition at Abbey Dawn and sent to ROMZ where it was received Jan 6 in flesh, no injuries",1
"found in eavestrough, alive",1
"found in farm yard Elgin Mills, Ont, domesticated",1
"found in garden, captive for 5 months",1
"found in gas flue",1
"found in nest",1
"found in nest, captive ca 13 months",1
"found in orchard on ground",1
"found in sleeping position, had come to shore alive and died of starvation on the beach",1
"found in weakened condition",1
"found in weakened condition June 13",1
"found in weakened state",1
"found in yard, diseased",1
"found injured",130
"found injured 11 Apr 1927",1
"found injured after hitting window at National Museum of Canada",1
"found injured by an Long-eared Owl",1
"found injured by road",1
"found injured on 1973 April 11",1
"found injured on Hwy",2
"found injured on road side, emaciated",1
"found injured or diseased",1
"found injured, 1944 February 28",1
"found injured, broken wing",9
"found injured, captive",1
"found injured, captive for 15 days",1
"found injured, captive for ca 1 day",1
"found injured, captive for ca 6 months",1
"found injured, captured",1
"found injured, died in captivity",1
"found injured, died same day",1
"found injured, emaciated",2
"found injured, found on 24 July, died 26 July 2006",1
"found injured, intestines ruptured",1
"found injured, left wing",1
"found mummified",21
"found mummified on beach",1
"found near nest with adult",1
"found near nest with broken wing, nest also collected",1
"found nearly dead",1
"found on beach after storm, partly eaten by gulls",1
"found on fender of train",1
"found on its back alive",1
"found on road",1
"found on side of road",1
"found on side of road, road kill?",1
"found on train at Toronto",1
"found orphaned 8 July 1967",1
"found rotten, caught in fence",1
"found shot",15
"found shot beside newly seeded irrigated rice field",1
"found shot in wing",1
"found tangled in a multi-flower rose",1
"found unable to fly",1
"found unable to fly, euthanized",1
"found under nest destroyed by storm",4
"found under poplars on lawn",1
"found washed ashore",1
"found weakened, died in rehabilitation centre",1
"found weakened, died soon after",1
"found with bones and feathers",1
"found with injured wing, euthanized",1
"found wounded",5
"found wounded on beach",1
"found, wing shot",1
"from 25 found freshly dead at entrance to Fox burrows",1
"from a carcass at fox den",1
"from a game farm",1
"from hatchery",1
"from nest of 4",2
"from pipped egg",1
"frost victim",2
"frozen in ice, broken wing",1
"full of porcupine quills",1
"Garden grown",1
"gin trap",1
"Grown from seed",1
"had fallen out of nest after wind storm",1
"had injured leg, caught by campers",1
"hatched 3 June - died 4 June, egg found 9 May",1
"hatched in captivity 1991 November, died of stress in new surroundings",1
"hatched in incubator",3
"hatched on game farm",4
"hatched? captured? Nov 12, 1930, died in captivity",1
"hatching when collected",1
"Herbarium specimen",1
"HerbariumSpecimen",1
"hung in mesh of trap",1
"hydro line kill",1
"ill, caught in noose",1
"illegally shot and seized",2
"immature",2
"impaled on barbed wire fence",1
"impaled on cactus",2
"impaled on Cholla Cactus",17
"impaled on Hawthorn",1
"In cultivation",2
"in mouse-trap set for mice in the bog to the E of our place",1
"Indoor potted plant",1
"injured by car, died",1
"injured by motor",1
"insect poisoning",2
"Introduced",254
"Introduced - cultivated",1
"introduced - escapes",1
"introduced - weedy",1
"Introduced exotic",1
"Introduced from Eurasia",1
"Introduced from Maryland",2
"invasive",1
"Kalmar Stadspark",1
"kill by Peregrine Falcon?",1
"killed against side of house, chasing prey",1
"killed at smokestack",1
"killed by a farmer",1
"killed by accident",2
"killed by adult male",1
"killed by American Kestrel",1
"killed by Arctic Loon",1
"killed by axe",1
"killed by catapault",1
"killed by Clover cutter",1
"killed by cold",1
"killed by Cowbird",1
"killed by flying against sign",1
"killed by fox, captive bred",2
"killed by Grackle",1
"killed by Great Blue Heron or parent",1
"killed by hail storm",1
"killed by lightning",1
"killed by male House Sparrow (Passer domesticus)",1
"killed by Mink",1
"killed by Northern Harrier",1
"killed by Northern Shrike",3
"killed by owl?",1
"killed by Peregrine Falcon",2
"killed by pesticide",1
"killed by raptor",1
"killed by Sharp-shinned Hawk",1
"killed by stone",1
"killed by storm",1
"killed by thrown frisbee",1
"killed by train",1
"killed by two Stercorarius parasiticus",1
"killed by Wild Cat",1
"killed by wire net",1
"killed fighting with another",1
"killed in Fox snare",1
"killed in hailstorm",1
"killed in mist net by Laughing Kookaburra (Dacelo novaeguineae)",2
"killed on gaff hook",1
"killed on woodpile in garden",1
"killed pullet",1
"killed swallowing a Sculpin",1
"killed while eating a road kill Rabbit",1
"killed with a rock",1
"killed with stone",1
"Lab reared",1
"laid egg 1594, 2 June 1970, died 0630 hrs",1
"landed on ship at night",3
"Lawn decoration",17
"Lawn ornamental",1
"lead poisoning",1
"lead poisoning, emaciated",1
"leg caught in fork of tree",1
"lighthouse kill",408
"lighthouse kill in fog",6
"lighthouse kill?",1
"lighthouse kill-WE Saunders catalogue",1
"lighthouse kill-WES catalogue",5
"m",1
"ma",1
"malnutrition complications",1
"Managed",53110
"migration casualty",15
"mist net casualty",7
"mist netted",62
"mist netted at Centro Cientifico Rio Palenque",3
"mist netted at mouth of cave near airport",1
"mist netted in garden",1
"mist netted near banana plantation",1
"mist netted near rest house",1
"mist netted on shortcut trail through forest over Lodo Creek in forest at Centro Cientifico Rio Palenque",3
"mist netted over Lodo Creek in forest at Centro Cientifico Rio Palenque",2
"NA",1
"native",5816770
"native - endemic",1
"Native of southeast Asia",1
"native.",1
"Natove",1
"naturalized",13
"Naturalized.",1
"naturalizing",1
"nest also collected",21
"nest and adult taken",1
"nest and eggs collected",1
"nest destroyed",4
"nest had fallen down",4
"nest kill",3
"nest nest also collectedalso collected",1
"nest predated",1
"nest taken after adults deserted nest",1
"nest tree cut down",1
"nest tree fell",1
"net casualty",2
"netted",44
"netted in 60 fathom trout net-JHG catalogue",1
"netted on 18, seen on 17",1
"netted over a brook",1
"netted over forest road at Centro Cientifico Rio Palenque",1
"netted over forest road at trail a 3A-B",1
"netting casualty",5
"newly hatched",1
"non-native",2
"not introduced",432
"noxious",3
"Number in Set: 1",1
"Number in Set: 1 Condition: good",1
"o",1
"oil slicked",1
"oiled",2
"one of 13 killed by truck",3
"one of 15 smothered in trap",1
"one of 3 in nest",1
"one of 3 killed in nest",1
"one of 4 taken from nest in abondoned shed",4
"one of 501 birds killed at lighthouse",157
"one of 54 found dead",4
"one of a brood just out of nest",1
"one of a pair",3
"one of thirty-two found dead",1
"one of three found dead",1
"originally injured by train, captive since 1985 March",1
"Ornamental",2
"taken from nest, captive",1
"taken from nest, captive 60 days",1
"taken from nest, captive for 4 months",1
"taken from nest, captive for 5 days",1
"taken from nest, captive for ca 4 days",1
"taken from nest, captive for ca 8 months",1
"taken from nest, captive for ca 9 months",1
"taken from nest, nest also collected",29
"taken from nest, taken from nest 1933 May 24, when ca 12 days old",1
"taken from pipped egg",1
"taken from pipped egg in abondoned nest",1
"taken from Rough-legged Hawk's nest",2
"taken from square tree hole, captive for ca 3 days",2
"taken from square tree hole, captive for ca 4 days",1
"taken in gill net, 12 fathoms",1
"taken in nest",1
"taken off nest",1
"taken on board ship near Newfoundland",1
"taken on cliff rock",1
"taken on nest",3
"taken with nest",1
"taken with nest and 3 eggs",2
"taken with nest and 4 eggs",5
"taken with nest and 5 eggs",1
"taken with nest and eggs",1
"taken with nest containing 2 Cowbird eggs",1
"taken with nest, nest also collected",4
"taken with nest, three eggs and two Cowbird eggs",1
"taken with set of 9 incubating eggs",1
"tangled in fishing line",1
"tower kill",962
"tower kill, London Life building",1
"tower kill, struck light on forestry tower",1
"tower kill?",2
"tower kill?, found dead",12
"train kill",14
"train kill, collected at arrival of train",1
"transplanted",1
"trapped",102
"trapped and died",4
"trapped in Beaver trap",1
"trapped in leg snare",1
"trapped in marsh",1
"trapped in mouse trap",1
"trapped in Opossum trap?",1
"trapped in snare",2
"trapped in Weasel trap",1
"trapped in winter?, seized",1
"trapped in Wolf traps",2
"trapped on eggs",1
"trapped on Turkey farm",1
"trapped, captive",2
"trapped, taken at nest with seven eggs",1
"TV tower kill",1038
"unknown",15410
"Uppl. Stockholm",1
"USA",1
"victim of bird control",1
"victim of Northern Shrike",2
"washed up on beach",1
"weed in pot",2
"went over the falls",5
"wild",60346
"wild caught",1889545
"wind turbine kill",1
"window kill",780
"window kill by feeder",1
"window kill, after killing Starling",1
"window kill, collected 1730 hrs",1
"window kill, collected at 0800 hrs",1
"window kill, ROM parking",1
"window kill?",3
"window kill?, found dead at residence of collector",1
"wire kill",29
"wire kill, electrocuted",1
"wire kill?, found under hydro line",1
"wire kill?, found under wires with broken neck",1
"wounded and captured, captive for ca 7 months 14 days",1
"wounded by boys",1
